Series	Platform
GSE8933	GPL4894
GSE87462	GPL8855
GSE9111	GPL2004
GSE9111	GPL2005
GSE9111	GPL3718
GSE9111	GPL3720
GSE89519	GPL3718
GSE89635	GPL6984
GSE9867	GPL2826
GSE10044	GPL2004
GSE10044	GPL2005
GSE10044	GPL3718
GSE10044	GPL3720
GSE10387	GPL2005
GSE10747	GPL1266
GSE10747	GPL3720
GSE11101	GPL4091
GSE11409	GPL3720
GSE11522	GPL3718
GSE11945	GPL2616
GSE1755	GPL1448
GSE12370	GPL2004
GSE12370	GPL2005
GSE12370	GPL3718
GSE12370	GPL3720
GSE12668	GPL96
GSE12668	GPL4091
GSE12713	GPL3718
GSE12713	GPL3720
GSE13557	GPL3718
GSE13557	GPL4723
GSE13557	GPL5149
GSE13557	GPL6980
GSE12951	GPL2843
GSE12951	GPL5477
GSE12951	GPL7394
GSE13775	GPL4723
GSE14749	GPL8167
GSE14749	GPL8196
GSE15051	GPL3720
GSE16609	GPL8581
GSE16668	GPL8720
GSE16680	GPL4560
GSE16872	GPL4133
GSE16872	GPL8774
GSE17093	GPL6985
GSE17207	GPL8887
GSE18143	GPL9202
GSE18408	GPL4091
GSE19193	GPL4999
GSE19385	GPL6433
GSE19385	GPL6434
GSE19385	GPL6982
GSE19385	GPL8887
GSE19458	GPL11069
GSE19561	GPL9816
GSE19594	GPL1266
GSE2631	GPL2024
GSE20376	GPL2004
GSE20376	GPL2005
GSE20496	GPL4560
GSE21923	GPL5477
GSE22237	GPL9128
GSE22328	GPL10538
GSE22481	GPL4560
GSE22694	GPL4544
GSE23418	GPL2826
GSE23418	GPL2827
GSE23418	GPL2842
GSE23418	GPL2843
GSE23418	GPL3441
GSE23418	GPL3442
GSE23418	GPL3443
GSE23418	GPL5164
GSE23418	GPL7394
GSE23418	GPL8368
GSE23418	GPL10743
GSE25102	GPL6985
GSE25262	GPL3718
GSE25262	GPL3720
GSE25262	GPL6801
GSE25492	GPL6801
GSE25528	GPL11237
GSE25771	GPL2873
GSE25771	GPL2879
GSE25771	GPL4093
GSE25771	GPL5477
GSE25985	GPL6985
GSE25985	GPL8882
GSE25016	GPL6801
GSE26849	GPL9128
GSE26860	GPL6801
GSE27331	GPL13176
GSE27333	GPL570
GSE27333	GPL571
GSE27333	GPL9128
GSE27333	GPL13176
GSE27333	GPL13177
GSE28366	GPL8882
GSE28850	GPL4723
GSE28952	GPL4091
GSE28952	GPL8736
GSE28989	GPL4091
GSE29256	GPL8882
GSE30283	GPL6801
GSE30479	GPL8687
GSE31575	GPL8882
GSE31575	GPL13135
GSE31575	GPL14190
GSE31586	GPL7313
GSE3559	GPL1282
GSE3559	GPL3046
GSE33881	GPL5477
GSE34507	GPL3720
GSE3743	GPL1266
GSE35476	GPL10123
GSE36282	GPL2879
GSE36282	GPL4091
GSE3971	GPL1282
GSE3971	GPL2790
GSE3971	GPL3043
GSE3971	GPL3045
GSE3971	GPL3046
GSE3971	GPL3114
GSE3971	GPL3254
GSE3971	GPL3302
GSE3971	GPL3303
GSE36967	GPL6801
GSE36989	GPL8687
GSE36991	GPL8693
GSE37035	GPL6801
GSE4301	GPL1282
GSE4301	GPL2695
GSE4301	GPL2868
GSE4301	GPL2934
GSE4301	GPL2937
GSE4301	GPL3001
GSE4301	GPL3045
GSE4301	GPL3272
GSE4301	GPL3334
GSE4301	GPL3486
GSE38405	GPL4723
GSE39303	GPL3718
GSE4072	GPL2695
GSE4072	GPL2705
GSE4072	GPL3254
GSE4072	GPL3271
GSE4072	GPL3322
GSE67682	GPL16707
GSE67682	GPL19947
GSE67682	GPL19948
GSE73976	GPL16131
GSE56106	GPL8687
GSE86305	GPL10150
GSE46594	GPL6801
GSE85733	GPL6801
GSE86607	GPL9128
GSE80314	GPL18637
